Date,median_transaction_fee7trxUSD
2014/01/11,1.276
2014/01/12,1.181
2014/01/13,0.984
2014/01/14,0.775
2014/01/15,0.608
2014/01/16,0.468
2014/01/17,0.296
2014/01/18,0.159
2014/01/19,0.067
2014/01/20,0.086
2014/01/21,0.106
2014/01/22,0.102
2014/01/23,0.06
2014/01/24,-0.047
2014/01/25,-0.125
2014/01/26,-0.118
2014/01/27,-0.078
2014/01/28,-0.142
2014/01/29,-0.187
2014/01/30,-0.238
2014/01/31,-0.258
2014/02/01,-0.232
2014/02/02,-0.192
2014/02/03,-0.185
2014/02/04,-0.188
2014/02/05,-0.168
2014/02/06,-0.196
2014/02/07,-0.372
2014/02/08,-0.639
2014/02/09,-0.934
2014/02/10,-1.219
2014/02/11,-1.439
2014/02/12,-1.634
2014/02/13,-1.889
2014/02/14,-2.169
2014/02/15,-2.313
2014/02/16,-2.249
2014/02/17,-2.077
2014/02/18,-1.856
2014/02/19,-1.631
2014/02/20,-1.47
2014/02/21,-1.417
2014/02/22,-1.369
2014/02/23,-1.214
2014/02/24,-1.134
2014/02/25,-1.257
2014/02/26,-1.252
2014/02/27,-1.155
2014/02/28,-1.047
2014/03/01,-0.955
2014/03/02,-0.866
2014/03/03,-0.665
2014/03/04,-0.242
2014/03/05,0.174
2014/03/06,0.515
2014/03/07,0.708
2014/03/08,0.738
2014/03/09,0.703
2014/03/10,0.643
2014/03/11,0.561
2014/03/12,0.502
2014/03/13,0.459
2014/03/14,0.406
2014/03/15,0.348
2014/03/16,0.293
2014/03/17,0.225
2014/03/18,0.131
2014/03/19,0.039
2014/03/20,-0.082
2014/03/21,-0.23
2014/03/22,-0.411
2014/03/23,-0.57
2014/03/24,-0.689
2014/03/25,-0.728
2014/03/26,-0.711
2014/03/27,-0.755
2014/03/28,-0.915
2014/03/29,-1.097
2014/03/30,-1.327
2014/03/31,-1.562
2014/04/01,-1.693
2014/04/02,-1.766
2014/04/03,-1.868
2014/04/04,-1.918
2014/04/05,-1.891
2014/04/06,-1.786
2014/04/07,-1.651
2014/04/08,-1.508
2014/04/09,-1.373
2014/04/10,-1.368
2014/04/11,-1.418
2014/04/12,-1.393
2014/04/13,-1.35
2014/04/14,-1.186
2014/04/15,-0.832
2014/04/16,-0.332
2014/04/17,0.118
2014/04/18,0.401
2014/04/19,0.582
2014/04/20,0.715
2014/04/21,0.787
2014/04/22,0.784
2014/04/23,0.72
2014/04/24,0.634
2014/04/25,0.466
2014/04/26,0.258
2014/04/27,0.043
2014/04/28,-0.19
2014/04/29,-0.369
2014/04/30,-0.49
2014/05/01,-0.529
2014/05/02,-0.537
2014/05/03,-0.551
2014/05/04,-0.576
2014/05/05,-0.601
2014/05/06,-0.63
2014/05/07,-0.619
2014/05/08,-0.565
2014/05/09,-0.481
2014/05/10,-0.369
2014/05/11,-0.282
2014/05/12,-0.23
2014/05/13,-0.2
2014/05/14,-0.166
2014/05/15,-0.118
2014/05/16,-0.074
2014/05/17,-0.031
2014/05/18,0.001
2014/05/19,0.023
2014/05/20,0.108
2014/05/21,0.3
2014/05/22,0.56
2014/05/23,0.866
2014/05/24,1.091
2014/05/25,1.364
2014/05/26,1.654
2014/05/27,1.846
2014/05/28,1.925
2014/05/29,1.894
2014/05/30,1.874
2014/05/31,1.909
2014/06/01,1.998
2014/06/02,2.031
2014/06/03,2.081
2014/06/04,2.024
2014/06/05,1.926
2014/06/06,1.801
2014/06/07,1.647
2014/06/08,1.484
2014/06/09,1.307
2014/06/10,1.139
2014/06/11,0.962
2014/06/12,0.741
2014/06/13,0.463
2014/06/14,0.146
2014/06/15,-0.164
2014/06/16,-0.346
2014/06/17,-0.437
2014/06/18,-0.444
2014/06/19,-0.417
2014/06/20,-0.405
2014/06/21,-0.399
2014/06/22,-0.366
2014/06/23,-0.345
2014/06/24,-0.338
2014/06/25,-0.375
2014/06/26,-0.417
2014/06/27,-0.413
2014/06/28,-0.349
2014/06/29,-0.27
2014/06/30,-0.126
2014/07/01,0.103
2014/07/02,0.321
2014/07/03,0.487
2014/07/04,0.579
2014/07/05,0.597
2014/07/06,0.58
2014/07/07,0.526
2014/07/08,0.443
2014/07/09,0.354
2014/07/10,0.26
2014/07/11,0.188
2014/07/12,0.159
2014/07/13,0.144
2014/07/14,0.115
2014/07/15,0.081
2014/07/16,0.04
2014/07/17,0.002
2014/07/18,-0.017
2014/07/19,-0.014
2014/07/20,-0.013
2014/07/21,-0.021
2014/07/22,-0.028
2014/07/23,-0.037
2014/07/24,-0.071
2014/07/25,-0.13
2014/07/26,-0.202
2014/07/27,-0.261
2014/07/28,-0.329
2014/07/29,-0.388
2014/07/30,-0.453
2014/07/31,-0.503
2014/08/01,-0.491
2014/08/02,-0.448
2014/08/03,-0.41
2014/08/04,-0.367
2014/08/05,-0.332
2014/08/06,-0.304
2014/08/07,-0.272
2014/08/08,-0.22
2014/08/09,-0.176
2014/08/10,-0.135
2014/08/11,-0.11
2014/08/12,-0.137
2014/08/13,-0.224
2014/08/14,-0.406
2014/08/15,-0.629
2014/08/16,-0.84
2014/08/17,-0.995
2014/08/18,-1.168
2014/08/19,-1.305
2014/08/20,-1.35
2014/08/21,-1.243
2014/08/22,-1.09
2014/08/23,-0.951
2014/08/24,-0.822
2014/08/25,-0.71
2014/08/26,-0.596
2014/08/27,-0.469
2014/08/28,-0.363
2014/08/29,-0.287
2014/08/30,-0.243
2014/08/31,-0.257
2014/09/01,-0.32
2014/09/02,-0.395
2014/09/03,-0.464
2014/09/04,-0.495
2014/09/05,-0.487
2014/09/06,-0.467
2014/09/07,-0.435
2014/09/08,-0.435
2014/09/09,-0.452
2014/09/10,-0.417
2014/09/11,-0.381
2014/09/12,-0.354
2014/09/13,-0.32
2014/09/14,-0.279
2014/09/15,-0.243
2014/09/16,-0.234
2014/09/17,-0.272
2014/09/18,-0.377
2014/09/19,-0.597
2014/09/20,-0.811
2014/09/21,-1.009
2014/09/22,-1.161
2014/09/23,-1.231
2014/09/24,-1.165
2014/09/25,-1.092
2014/09/26,-1.035
2014/09/27,-0.989
2014/09/28,-0.979
2014/09/29,-1.02
2014/09/30,-1.057
2014/10/01,-1.054
2014/10/02,-1.043
2014/10/03,-1.054
2014/10/04,-1.14
2014/10/05,-1.347
2014/10/06,-1.535
2014/10/07,-1.645
2014/10/08,-1.639
2014/10/09,-1.455
2014/10/10,-1.207
2014/10/11,-0.96
2014/10/12,-0.723
2014/10/13,-0.446
2014/10/14,-0.086
2014/10/15,0.218
2014/10/16,0.413
2014/10/17,0.495
2014/10/18,0.531
2014/10/19,0.549
2014/10/20,0.521
2014/10/21,0.479
2014/10/22,0.423
2014/10/23,0.301
2014/10/24,0.116
2014/10/25,-0.094
2014/10/26,-0.272
2014/10/27,-0.4
2014/10/28,-0.48
2014/10/29,-0.555
2014/10/30,-0.637
2014/10/31,-0.686
2014/11/01,-0.757
2014/11/02,-0.835
2014/11/03,-0.879
2014/11/04,-0.897
2014/11/05,-0.839
2014/11/06,-0.72
2014/11/07,-0.57
2014/11/08,-0.429
2014/11/09,-0.276
2014/11/10,-0.064
2014/11/11,0.144
2014/11/12,0.443
2014/11/13,0.877
2014/11/14,1.138
2014/11/15,1.216
2014/11/16,1.175
2014/11/17,1.129
2014/11/18,0.999
2014/11/19,0.831
2014/11/20,0.607
2014/11/21,0.327
2014/11/22,0.083
2014/11/23,-0.101
2014/11/24,-0.161
2014/11/25,-0.122
2014/11/26,-0.094
2014/11/27,-0.077
2014/11/28,-0.072
2014/11/29,-0.033
2014/11/30,0.011
2014/12/01,0.058
2014/12/02,0.105
2014/12/03,0.132
2014/12/04,0.125
2014/12/05,0.098
2014/12/06,0.073
2014/12/07,0.053
2014/12/08,0.011
2014/12/09,-0.101
2014/12/10,-0.237
2014/12/11,-0.35
2014/12/12,-0.434
2014/12/13,-0.501
2014/12/14,-0.54
2014/12/15,-0.557
2014/12/16,-0.606
2014/12/17,-0.704
2014/12/18,-0.844
2014/12/19,-0.971
2014/12/20,-1.006
2014/12/21,-0.985
2014/12/22,-0.909
2014/12/23,-0.786
2014/12/24,-0.666
2014/12/25,-0.601
2014/12/26,-0.543
2014/12/27,-0.508
2014/12/28,-0.497
2014/12/29,-0.493
2014/12/30,-0.499
2014/12/31,-0.497
2015/01/01,-0.471
2015/01/02,-0.437
2015/01/03,-0.451
2015/01/04,-0.616
2015/01/05,-0.826
2015/01/06,-0.993
2015/01/07,-1.048
2015/01/08,-1.031
2015/01/09,-0.987
2015/01/10,-0.944
2015/01/11,-0.929
2015/01/12,-0.937
2015/01/13,-1.097
2015/01/14,-1.509
2015/01/15,-1.911
2015/01/16,-2.2
2015/01/17,-2.436
2015/01/18,-2.558
2015/01/19,-2.546
2015/01/20,-2.449
2015/01/21,-2.269
2015/01/22,-1.932
2015/01/23,-1.559
2015/01/24,-1.153
2015/01/25,-0.698
2015/01/26,-0.058
2015/01/27,0.424
2015/01/28,0.695
2015/01/29,0.686
2015/01/30,0.551
2015/01/31,0.348
2015/02/01,0.082
2015/02/02,-0.116
2015/02/03,-0.188
2015/02/04,-0.268
2015/02/05,-0.354
2015/02/06,-0.441
2015/02/07,-0.469
2015/02/08,-0.468
2015/02/09,-0.473
2015/02/10,-0.492
2015/02/11,-0.49
2015/02/12,-0.481
2015/02/13,-0.379
2015/02/14,-0.146
2015/02/15,0.136
2015/02/16,0.284
2015/02/17,0.376
2015/02/18,0.428
2015/02/19,0.438
2015/02/20,0.456
2015/02/21,0.475
2015/02/22,0.464
2015/02/23,0.4
2015/02/24,0.332
2015/02/25,0.26
2015/02/26,0.187
2015/02/27,0.217
2015/02/28,0.298
2015/03/01,0.374
2015/03/02,0.501
2015/03/03,0.705
2015/03/04,0.918
2015/03/05,1.029
2015/03/06,1.076
2015/03/07,1.075
2015/03/08,1.047
2015/03/09,1.037
2015/03/10,1.09
2015/03/11,1.141
2015/03/12,1.166
2015/03/13,1.136
2015/03/14,1.025
2015/03/15,0.885
2015/03/16,0.782
2015/03/17,0.686
2015/03/18,0.513
2015/03/19,0.234
2015/03/20,-0.027
2015/03/21,-0.249
2015/03/22,-0.402
2015/03/23,-0.468
2015/03/24,-0.541
2015/03/25,-0.663
2015/03/26,-0.755
2015/03/27,-0.818
2015/03/28,-0.825
2015/03/29,-0.831
2015/03/30,-0.823
2015/03/31,-0.798
2015/04/01,-0.769
2015/04/02,-0.702
2015/04/03,-0.585
2015/04/04,-0.461
2015/04/05,-0.331
2015/04/06,-0.198
2015/04/07,-0.108
2015/04/08,-0.079
2015/04/09,-0.108
2015/04/10,-0.191
2015/04/11,-0.294
2015/04/12,-0.385
2015/04/13,-0.474
2015/04/14,-0.619
2015/04/15,-0.752
2015/04/16,-0.814
2015/04/17,-0.839
2015/04/18,-0.843
2015/04/19,-0.815
2015/04/20,-0.767
2015/04/21,-0.692
2015/04/22,-0.543
2015/04/23,-0.383
2015/04/24,-0.256
2015/04/25,-0.18
2015/04/26,-0.2
2015/04/27,-0.239
2015/04/28,-0.246
2015/04/29,-0.238
2015/04/30,-0.177
2015/05/01,-0.076
2015/05/02,0.023
2015/05/03,0.14
2015/05/04,0.248
2015/05/05,0.3
2015/05/06,0.309
2015/05/07,0.277
2015/05/08,0.282
2015/05/09,0.314
2015/05/10,0.339
2015/05/11,0.353
2015/05/12,0.353
2015/05/13,0.348
2015/05/14,0.296
2015/05/15,0.234
2015/05/16,0.172
2015/05/17,0.117
2015/05/18,0.066
2015/05/19,0.004
2015/05/20,-0.052
2015/05/21,-0.083
2015/05/22,-0.086
2015/05/23,-0.054
2015/05/24,-0.014
2015/05/25,0.017
2015/05/26,0.029
2015/05/27,0.032
2015/05/28,0.029
2015/05/29,0.021
2015/05/30,-0.005
2015/05/31,-0.048
2015/06/01,-0.124
2015/06/02,-0.22
2015/06/03,-0.294
2015/06/04,-0.347
2015/06/05,-0.384
2015/06/06,-0.398
2015/06/07,-0.398
2015/06/08,-0.376
2015/06/09,-0.321
2015/06/10,-0.255
2015/06/11,-0.188
2015/06/12,-0.123
2015/06/13,-0.064
2015/06/14,0.002
2015/06/15,0.075
2015/06/16,0.18
2015/06/17,0.341
2015/06/18,0.476
2015/06/19,0.565
2015/06/20,0.581
2015/06/21,0.557
2015/06/22,0.527
2015/06/23,0.486
2015/06/24,0.427
2015/06/25,0.36
2015/06/26,0.295
2015/06/27,0.26
2015/06/28,0.261
2015/06/29,0.293
2015/06/30,0.391
2015/07/01,0.478
2015/07/02,0.522
2015/07/03,0.524
2015/07/04,0.509
2015/07/05,0.524
2015/07/06,2.275
2015/07/07,4.314
2015/07/08,5.924
2015/07/09,5.364
2015/07/10,4.12
2015/07/11,2.855
2015/07/12,1.821
2015/07/13,0.967
2015/07/14,0.514
2015/07/15,0.062
2015/07/16,-0.36
2015/07/17,-0.725
2015/07/18,-1.001
2015/07/19,-1.199
2015/07/20,-1.311
2015/07/21,-1.34
2015/07/22,-1.32
2015/07/23,-1.259
2015/07/24,-1.143
2015/07/25,-0.971
2015/07/26,-0.775
2015/07/27,-0.583
2015/07/28,-0.398
2015/07/29,0.407
2015/07/30,0.834
2015/07/31,0.921
2015/08/01,0.726
2015/08/02,0.432
2015/08/03,0.149
2015/08/04,0.36
2015/08/05,0.556
2015/08/06,1.673
2015/08/07,1.699
2015/08/08,1.226
2015/08/09,0.569
2015/08/10,-0.061
2015/08/11,-0.579
2015/08/12,-0.957
2015/08/13,-1.225
2015/08/14,-1.387
2015/08/15,-1.461
2015/08/16,-1.497
2015/08/17,-1.495
2015/08/18,-1.478
2015/08/19,-1.557
2015/08/20,-1.64
2015/08/21,-1.688
2015/08/22,-1.713
2015/08/23,-1.704
2015/08/24,-1.713
2015/08/25,-1.745
2015/08/26,-1.688
2015/08/27,-1.574
2015/08/28,-1.416
2015/08/29,-1.225
2015/08/30,-1.032
2015/08/31,-0.858
2015/09/01,-0.709
2015/09/02,0.931
2015/09/03,1.401
2015/09/04,1.289
2015/09/05,0.959
2015/09/06,0.629
2015/09/07,0.348
2015/09/08,0.143
2015/09/09,-0.018
2015/09/10,-0.149
2015/09/11,-0.235
2015/09/12,-0.297
2015/09/13,-0.37
2015/09/14,-0.445
2015/09/15,-0.505
2015/09/16,-0.55
2015/09/17,-1.406
2015/09/18,-1.608
2015/09/19,-1.482
2015/09/20,-1.211
2015/09/21,-0.916
2015/09/22,-0.636
2015/09/23,-0.384
2015/09/24,-0.164
2015/09/25,0.032
2015/09/26,0.177
2015/09/27,0.27
2015/09/28,0.348
2015/09/29,0.407
2015/09/30,0.435
2015/10/01,0.438
2015/10/02,0.43
2015/10/03,0.415
2015/10/04,0.396
2015/10/05,0.371
2015/10/06,0.372
2015/10/07,0.391
2015/10/08,0.398
2015/10/09,0.393
2015/10/10,0.382
2015/10/11,0.373
2015/10/12,0.366
2015/10/13,0.36
2015/10/14,0.374
2015/10/15,0.41
2015/10/16,0.477
2015/10/17,0.597
2015/10/18,0.695
2015/10/19,0.737
2015/10/20,0.758
2015/10/21,0.761
2015/10/22,0.766
2015/10/23,0.787
2015/10/24,0.818
2015/10/25,0.892
2015/10/26,0.927
2015/10/27,0.968
2015/10/28,1.044
2015/10/29,1.151
2015/10/30,1.321
2015/10/31,1.447
2015/11/01,1.476
2015/11/02,1.542
2015/11/03,1.848
2015/11/04,2.508
2015/11/05,2.882
2015/11/06,2.868
2015/11/07,2.708
2015/11/08,2.464
2015/11/09,2.152
2015/11/10,1.788
2015/11/11,1.21
2015/11/12,0.677
2015/11/13,0.263
2015/11/14,-0.043
2015/11/15,-0.28
2015/11/16,-0.474
2015/11/17,-0.56
2015/11/18,-0.581
2015/11/19,-0.576
2015/11/20,-0.601
2015/11/21,-0.604
2015/11/22,-0.591
2015/11/23,-0.571
2015/11/24,-0.552
2015/11/25,-0.52
2015/11/26,-0.386
2015/11/27,-0.158
2015/11/28,0.071
2015/11/29,0.289
2015/11/30,0.537
2015/12/01,0.706
2015/12/02,0.748
2015/12/03,0.748
2015/12/04,0.709
2015/12/05,0.716
2015/12/06,0.813
2015/12/07,0.919
2015/12/08,1.001
2015/12/09,1.14
2015/12/10,1.25
2015/12/11,1.377
2015/12/12,1.465
2015/12/13,1.512
2015/12/14,1.53
2015/12/15,1.568
2015/12/16,1.578
2015/12/17,1.542
2015/12/18,1.482
2015/12/19,1.41
2015/12/20,1.286
2015/12/21,1.081
2015/12/22,0.866
2015/12/23,0.673
2015/12/24,0.558
2015/12/25,0.486
2015/12/26,0.342
2015/12/27,0.146
2015/12/28,-0.018
2015/12/29,-0.141
2015/12/30,-0.21
2015/12/31,-0.257
2016/01/01,-0.258
2016/01/02,-0.232
2016/01/03,-0.209
2016/01/04,-0.179
2016/01/05,-0.146
2016/01/06,-0.123
2016/01/07,-0.041
2016/01/08,0.079
2016/01/09,0.177
2016/01/10,0.227
2016/01/11,0.256
2016/01/12,0.261
2016/01/13,0.191
2016/01/14,0.103
2016/01/15,-0.073
2016/01/16,-0.375
2016/01/17,-0.632
2016/01/18,-0.829
2016/01/19,-0.957
2016/01/20,-0.989
2016/01/21,-0.881
2016/01/22,-0.793
2016/01/23,-0.731
2016/01/24,-0.652
2016/01/25,-0.567
2016/01/26,-0.497
2016/01/27,-0.431
2016/01/28,-0.411
2016/01/29,-0.438
2016/01/30,-0.466
2016/01/31,-0.485
2016/02/01,-0.508
2016/02/02,-0.517
2016/02/03,-0.52
2016/02/04,-0.487
2016/02/05,-0.398
2016/02/06,-0.336
2016/02/07,-0.288
2016/02/08,-0.251
2016/02/09,-0.231
2016/02/10,-0.197
2016/02/11,-0.153
2016/02/12,-0.102
2016/02/13,-0.026
2016/02/14,0.091
2016/02/15,0.225
2016/02/16,0.341
2016/02/17,0.466
2016/02/18,0.591
2016/02/19,0.686
2016/02/20,0.779
2016/02/21,0.876
2016/02/22,0.938
2016/02/23,0.922
2016/02/24,0.836
2016/02/25,0.731
2016/02/26,0.627
2016/02/27,0.559
2016/02/28,0.497
2016/02/29,0.468
2016/03/01,0.442
2016/03/02,0.402
2016/03/03,0.319
2016/03/04,0.421
2016/03/05,0.805
2016/03/06,0.939
2016/03/07,0.921
2016/03/08,0.68
2016/03/09,0.379
2016/03/10,0.101
2016/03/11,-0.109
2016/03/12,-0.281
2016/03/13,-0.407
2016/03/14,-0.484
2016/03/15,-0.516
2016/03/16,-0.493
2016/03/17,-0.457
2016/03/18,-0.431
2016/03/19,-0.428
2016/03/20,-0.419
2016/03/21,-0.404
2016/03/22,-0.363
2016/03/23,-0.304
2016/03/24,-0.247
2016/03/25,-0.197
2016/03/26,-0.152
2016/03/27,-0.101
2016/03/28,-0.039
2016/03/29,-0.002
2016/03/30,-0.001
2016/03/31,-0.007
2016/04/01,-0.014
2016/04/02,-0.009
2016/04/03,-0.001
2016/04/04,0.01
2016/04/05,0.03
2016/04/06,0.05
2016/04/07,0.062
2016/04/08,0.069
2016/04/09,0.059
2016/04/10,0.05
2016/04/11,0.046
2016/04/12,0.058
2016/04/13,0.073
2016/04/14,0.085
2016/04/15,0.104
2016/04/16,0.134
2016/04/17,0.155
2016/04/18,0.163
2016/04/19,0.168
2016/04/20,0.198
2016/04/21,0.254
2016/04/22,0.316
2016/04/23,0.368
2016/04/24,0.425
2016/04/25,0.486
2016/04/26,0.552
2016/04/27,0.583
2016/04/28,0.535
2016/04/29,0.47
2016/04/30,0.41
2016/05/01,0.348
2016/05/02,0.278
2016/05/03,0.21
2016/05/04,0.154
2016/05/05,0.107
2016/05/06,0.087
2016/05/07,0.103
2016/05/08,0.128
2016/05/09,0.153
2016/05/10,0.16
2016/05/11,0.148
2016/05/12,0.122
2016/05/13,0.104
2016/05/14,0.093
2016/05/15,0.089
2016/05/16,0.087
2016/05/17,0.211
2016/05/18,0.364
2016/05/19,0.591
2016/05/20,0.772
2016/05/21,0.778
2016/05/22,0.644
2016/05/23,0.466
2016/05/24,0.317
2016/05/25,0.36
2016/05/26,0.479
2016/05/27,0.994
2016/05/28,1.609
2016/05/29,2.111
2016/05/30,2.34
2016/05/31,2.384
2016/06/01,2.293
2016/06/02,2.188
2016/06/03,2.06
2016/06/04,1.8
2016/06/05,1.539
2016/06/06,1.289
2016/06/07,1.062
2016/06/08,0.875
2016/06/09,0.716
2016/06/10,0.578
2016/06/11,0.43
2016/06/12,0.387
2016/06/13,0.648
2016/06/14,1.718
2016/06/15,3.374
2016/06/16,4.735
2016/06/17,5.607
2016/06/18,5.978
2016/06/19,6.288
2016/06/20,6.324
2016/06/21,5.384
2016/06/22,4.541
2016/06/23,3.441
2016/06/24,2.694
2016/06/25,2.066
2016/06/26,1.453
2016/06/27,0.858
2016/06/28,0.234
2016/06/29,-0.338
2016/06/30,-0.763
2016/07/01,-1.019
2016/07/02,-1.118
2016/07/03,-1.191
2016/07/04,-1.271
2016/07/05,-1.301
2016/07/06,-1.262
2016/07/07,-1.228
2016/07/08,-1.199
2016/07/09,-1.111
2016/07/10,-1.042
2016/07/11,-0.935
2016/07/12,-0.959
2016/07/13,-0.845
2016/07/14,-0.732
2016/07/15,-0.598
2016/07/16,-0.511
2016/07/17,-0.425
2016/07/18,-0.244
2016/07/19,-0.061
2016/07/20,0.09
2016/07/21,0.206
2016/07/22,0.528
2016/07/23,0.858
2016/07/24,0.947
2016/07/25,1.088
2016/07/26,1.195
2016/07/27,1.418
2016/07/28,1.483
2016/07/29,1.59
2016/07/30,1.808
2016/07/31,2.083
2016/08/01,2.054
2016/08/02,1.972
2016/08/03,1.55
2016/08/04,1.111
2016/08/05,0.579
2016/08/06,-0.15
2016/08/07,-0.445
2016/08/08,-0.44
2016/08/09,-0.257
2016/08/10,-0.029
2016/08/11,0.269
2016/08/12,0.378
2016/08/13,0.258
2016/08/14,0.139
2016/08/15,0.017
2016/08/16,0.046
2016/08/17,0.015
2016/08/18,-0.039
2016/08/19,0.071
2016/08/20,0.114
2016/08/21,-0.031
2016/08/22,-0.196
2016/08/23,-0.246
2016/08/24,-0.243
2016/08/25,-0.191
2016/08/26,-0.154
2016/08/27,-0.33
2016/08/28,-0.586
2016/08/29,-0.651
2016/08/30,-0.571
2016/08/31,-0.634
2016/09/01,-0.561
2016/09/02,-0.58
2016/09/03,-0.721
2016/09/04,-0.952
2016/09/05,-0.967
2016/09/06,-0.882
2016/09/07,-0.745
2016/09/08,-0.635
2016/09/09,-0.306
2016/09/10,-0.16
2016/09/11,-0.122
2016/09/12,-0.165
2016/09/13,0.077
2016/09/14,0.098
2016/09/15,0.101
2016/09/16,0.285
2016/09/17,0.3
2016/09/18,0.253
2016/09/19,0.395
2016/09/20,0.599
2016/09/21,0.71
2016/09/22,0.764
2016/09/23,0.61
2016/09/24,0.594
2016/09/25,0.337
2016/09/26,0.021
2016/09/27,-0.268
2016/09/28,-0.425
2016/09/29,-0.495
2016/09/30,-0.51
2016/10/01,-0.474
2016/10/02,-0.417
2016/10/03,-0.345
2016/10/04,-0.284
2016/10/05,-0.189
2016/10/06,-0.131
2016/10/07,-0.088
2016/10/08,-0.049
2016/10/09,-0.019
2016/10/10,0.297
2016/10/11,0.652
2016/10/12,0.86
2016/10/13,0.835
2016/10/14,0.707
2016/10/15,0.6
2016/10/16,0.687
2016/10/17,0.887
2016/10/18,0.976
2016/10/19,1.018
2016/10/20,1.187
2016/10/21,1.244
2016/10/22,1.194
2016/10/23,1.093
2016/10/24,0.997
2016/10/25,1.081
2016/10/26,1.372
2016/10/27,1.583
2016/10/28,1.758
2016/10/29,1.856
2016/10/30,1.752
2016/10/31,1.482
2016/11/01,1.193
2016/11/02,0.892
2016/11/03,0.583
2016/11/04,0.484
2016/11/05,0.331
2016/11/06,0.219
2016/11/07,0.128
2016/11/08,-0.107
2016/11/09,-0.281
2016/11/10,-0.492
2016/11/11,-0.713
2016/11/12,-0.873
2016/11/13,-0.996
2016/11/14,-1.06
2016/11/15,-1.058
2016/11/16,-1.019
2016/11/17,-0.773
2016/11/18,-0.501
2016/11/19,-0.254
2016/11/20,0.077
2016/11/21,0.582
2016/11/22,1.143
2016/11/23,1.554
2016/11/24,1.856
2016/11/25,1.955
2016/11/26,1.92
2016/11/27,1.799
2016/11/28,1.632
2016/11/29,1.447
2016/11/30,1.274
2016/12/01,1.149
2016/12/02,1.125
2016/12/03,1.071
2016/12/04,0.994
2016/12/05,0.912
2016/12/06,0.854
2016/12/07,0.758
2016/12/08,0.663
2016/12/09,0.577
2016/12/10,0.506
2016/12/11,0.339
2016/12/12,0.186
2016/12/13,0.144
2016/12/14,0.151
2016/12/15,0.203
2016/12/16,0.28
2016/12/17,0.325
2016/12/18,0.348
2016/12/19,0.355
2016/12/20,0.35
2016/12/21,0.378
2016/12/22,0.492
2016/12/23,0.58
2016/12/24,0.76
2016/12/25,0.716
2016/12/26,0.792
2016/12/27,0.917
2016/12/28,1.103
2016/12/29,1.292
2016/12/30,1.399
2016/12/31,1.28
2017/01/01,1.081
2017/01/02,1.121
2017/01/03,1.23
2017/01/04,1.678
2017/01/05,2.092
2017/01/06,2.15
2017/01/07,1.899
2017/01/08,1.449
2017/01/09,1.108
2017/01/10,0.862
2017/01/11,0.587
2017/01/12,0.218
2017/01/13,-0.094
2017/01/14,-0.444
2017/01/15,-0.778
2017/01/16,-0.934
2017/01/17,-0.826
2017/01/18,-0.587
2017/01/19,-0.376
2017/01/20,-0.286
2017/01/21,-0.229
2017/01/22,-0.181
2017/01/23,0.094
2017/01/24,0.513
2017/01/25,0.835
2017/01/26,1.034
2017/01/27,1.085
2017/01/28,1.13
2017/01/29,1.166
2017/01/30,1.315
2017/01/31,1.727
2017/02/01,1.919
2017/02/02,2.328
2017/02/03,2.806
2017/02/04,3.008
2017/02/05,3.013
2017/02/06,3.256
2017/02/07,3.315
2017/02/08,3.288
2017/02/09,3.078
2017/02/10,2.687
2017/02/11,2.191
2017/02/12,1.589
2017/02/13,1.046
2017/02/14,0.659
2017/02/15,0.468
2017/02/16,0.589
2017/02/17,0.785
2017/02/18,0.956
2017/02/19,1.06
2017/02/20,1.137
2017/02/21,1.377
2017/02/22,1.994
2017/02/23,2.729
2017/02/24,3.323
2017/02/25,3.4
2017/02/26,3.191
2017/02/27,3.296
2017/02/28,3.49
2017/03/01,3.644
2017/03/02,3.742
2017/03/03,3.991
2017/03/04,4.099
2017/03/05,3.883
2017/03/06,3.755
2017/03/07,3.553
2017/03/08,3.053
2017/03/09,2.464
2017/03/10,2.056
2017/03/11,1.666
2017/03/12,1.351
2017/03/13,1.187
2017/03/14,1.104
2017/03/15,1.061
2017/03/16,0.984
2017/03/17,0.769
2017/03/18,0.398
2017/03/19,-0.019
2017/03/20,-0.35
2017/03/21,-0.522
2017/03/22,-0.637
2017/03/23,-0.728
2017/03/24,-0.846
2017/03/25,-1.152
2017/03/26,-1.441
2017/03/27,-1.616
2017/03/28,-1.64
2017/03/29,-1.594
2017/03/30,-1.63
2017/03/31,-1.515
2017/04/01,-1.434
2017/04/02,-1.373
2017/04/03,-1.252
2017/04/04,-1.07
2017/04/05,-0.889
2017/04/06,-0.658
2017/04/07,-0.382
2017/04/08,-0.308
2017/04/09,-0.348
2017/04/10,-0.254
2017/04/11,-0.078
2017/04/12,0.134
2017/04/13,0.31
2017/04/14,0.558
2017/04/15,0.599
2017/04/16,0.4
2017/04/17,0.289
2017/04/18,0.283
2017/04/19,0.296
2017/04/20,0.514
2017/04/21,0.643
2017/04/22,0.634
2017/04/23,0.602
2017/04/24,0.737
2017/04/25,1.122
2017/04/26,1.39
2017/04/27,1.729
2017/04/28,2.023
2017/04/29,2.028
2017/04/30,1.884
2017/05/01,1.89
2017/05/02,1.983
2017/05/03,2.146
2017/05/04,2.357
2017/05/05,2.68
2017/05/06,2.729
2017/05/07,2.628
2017/05/08,2.535
2017/05/09,2.639
2017/05/10,2.837
2017/05/11,3.07
2017/05/12,3.381
