Date,price3stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0.03
2010/07/20,0.011
2010/07/21,0.008
2010/07/22,0.012
2010/07/23,0.017
2010/07/24,0.007
2010/07/25,0.004
2010/07/26,0.005
2010/07/27,0.005
2010/07/28,0.006
2010/07/29,0.006
2010/07/30,0.006
2010/07/31,0.001
2010/08/01,0.005
2010/08/02,0.005
2010/08/03,0.001
2010/08/04,0.001
2010/08/05,0
2010/08/06,0.002
2010/08/07,0.002
2010/08/08,0.002
2010/08/09,0.006
2010/08/10,0.008
2010/08/11,0.004
2010/08/12,0.005
2010/08/13,0.005
2010/08/14,0.003
2010/08/15,0.001
2010/08/16,0.002
2010/08/17,0.003
2010/08/18,0.004
2010/08/19,0.001
2010/08/20,0.002
2010/08/21,0.001
2010/08/22,0.001
2010/08/23,0
2010/08/24,0
2010/08/25,0.001
2010/08/26,0.001
2010/08/27,0.001
2010/08/28,0
2010/08/29,0
2010/08/30,0
2010/08/31,0.002
2010/09/01,0.002
2010/09/02,0
2010/09/03,0.001
2010/09/04,0.001
2010/09/05,0.001
2010/09/06,0
2010/09/07,0.001
2010/09/08,0.001
2010/09/09,0
2010/09/10,0
2010/09/11,0.001
2010/09/12,0.001
2010/09/13,0.001
2010/09/14,0
2010/09/15,0.001
2010/09/16,0
2010/09/17,0.002
2010/09/18,0.002
2010/09/19,0.002
2010/09/20,0.002
2010/09/21,0.001
2010/09/22,0.001
2010/09/23,0.001
2010/09/24,0
2010/09/25,0
2010/09/26,0
2010/09/27,0
2010/09/28,0
2010/09/29,0
2010/09/30,0
2010/10/01,0
2010/10/02,0
2010/10/03,0.001
2010/10/04,0
2010/10/05,0
2010/10/06,0.001
2010/10/07,0.003
2010/10/08,0.013
2010/10/09,0.019
2010/10/10,0.015
2010/10/11,0.005
2010/10/12,0.002
2010/10/13,0.005
2010/10/14,0.007
2010/10/15,0.004
2010/10/16,0.002
2010/10/17,0.002
2010/10/18,0.002
2010/10/19,0.004
2010/10/20,0.004
2010/10/21,0.003
2010/10/22,0.005
2010/10/23,0.004
2010/10/24,0.005
2010/10/25,0.004
2010/10/26,0.029
