Date,fee_to_reward7rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-100
2010/07/25,75.885
2010/07/26,1579
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,3609
2010/07/31,0
2010/08/01,-73.72
2010/08/02,-82.907
2010/08/03,-100
2010/08/04,-100
2010/08/05,-100
2010/08/06,-100
2010/08/07,627.182
2010/08/08,-100
2010/08/09,1759
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,-100
2010/08/15,0
2010/08/16,-83.611
2010/08/17,0
2010/08/18,0
2010/08/19,0
2010/08/20,0
2010/08/21,0
2010/08/22,0
2010/08/23,-100
2010/08/24,0
2010/08/25,-100
2010/08/26,0
2010/08/27,0
2010/08/28,0
2010/08/29,0
2010/08/30,0
2010/08/31,-78.306
2010/09/01,0
2010/09/02,0
2010/09/03,0
2010/09/04,-100
2010/09/05,-96.572
2010/09/06,-100
2010/09/07,-100
2010/09/08,-100
2010/09/09,0
2010/09/10,0
2010/09/11,0
2010/09/12,1132
2010/09/13,-34.38
2010/09/14,0
2010/09/15,-100
2010/09/16,-100
2010/09/17,-100
2010/09/18,0
2010/09/19,-100
2010/09/20,-100
2010/09/21,-99.999
2010/09/22,0
2010/09/23,0
2010/09/24,0
2010/09/25,-100
2010/09/26,0
2010/09/27,0
2010/09/28,1619064623
2010/09/29,0
2010/09/30,0
2010/10/01,0
2010/10/02,0
2010/10/03,0
2010/10/04,-99.993
2010/10/05,-100
2010/10/06,0
2010/10/07,0
2010/10/08,-100
2010/10/09,-100
2010/10/10,-100
2010/10/11,23.566
2010/10/12,0
2010/10/13,35022846
2010/10/14,0
2010/10/15,0
2010/10/16,0
2010/10/17,0
2010/10/18,1099892
2010/10/19,0
2010/10/20,-100
2010/10/21,0
2010/10/22,0
2010/10/23,0
2010/10/24,0
2010/10/25,-100
2010/10/26,0
2010/10/27,0
2010/10/28,-100
2010/10/29,0
2010/10/30,-100
2010/10/31,0
2010/11/01,0
2010/11/02,0
2010/11/03,0
2010/11/04,0
